
Date:9/2/2010
Time:14:11:15
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
-1.790309940	-0.8866944450	-5.568020857	1.000000000
0.3277231674	-2.954382260	0.1550999023	1.000000000
-5.347307951	1.214711749	1.293037271	1.000000000
-0.1118308865	0.1289513304	-0.4669044577	1.000000000
0.1263547940	0.1264587724	1.466632647	1.000000000
-0.1229522835	0.1272029162	-0.4665167169	1.000000000
0.1229426603	0.1272045333	1.466516893	1.000000000
-0.1229448678	0.1272040506	-0.4665169685	1.000000000
0.1229448740	0.1272040495	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	1.000000000
0.1229448726	0.1272040498	1.466516968	1.000000000
-0.1229448726	0.1272040498	-0.4665169683	0.0000000000
Matrix from Quadrature
-0.9090909091	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
