
Date:9/2/2010
Time:14:25:44
Output format: Text
Calculations precision: 256

Initial Quadrature
Quadrature Nodes
0.100000000000000000000000000000000e-1	0.1854872140314353874112824379381e-2
0.100000000000000000000000000000000e-1	0.22291375534367346452974449986883e-2
0.100000000000000000000000000000000e-1	0.2633083873668711873373861573728e-2
0.100000000000000000000000000000000e-1	0.30651483111708240542674307836101e-2
0.100000000000000000000000000000000e-1	0.35236592925703191252827506031647e-2
0.100000000000000000000000000000000e-1	0.40068429279538017830095170519723e-2
0.100000000000000000000000000000000e-1	0.45128298737026998032187785390431e-2
0.100000000000000000000000000000000e-1	0.50396625646205721673104387879528e-2
0.100000000000000000000000000000000e-1	0.55853027873725634052112289112356e-2
0.100000000000000000000000000000000e-1	0.61476395659368381766620358256651e-2
0.100000000000000000000000000000000e-1	0.6724497328560716374981386365331e-2
0.100000000000000000000000000000000e-1	0.73136443246251420381972015953534e-2
0.100000000000000000000000000000000e-1	0.79128012588542725579276686117543e-2
0.100000000000000000000000000000000e-1	0.85196501094661086289855829552189e-2
0.100000000000000000000000000000000e-1	0.91318430961484532297635262940095e-2
0.100000000000000000000000000000000e-1	0.97470117631648428315826193392198e-2
0.100000000000000000000000000000000e-1	0.1036277614244967853860976952651e-1
0.100000000000000000000000000000000e-1	0.10976753961242322184693960097606e-1
0.100000000000000000000000000000000e-1	0.11586569858637609810513317082692e-1
0.100000000000000000000000000000000e-1	0.12189864575395739057747606004036e-1
0.100000000000000000000000000000000e-1	0.12784304081457941304479585605906e-1
0.100000000000000000000000000000000e-1	0.13367588605855353583142761082965e-1
0.100000000000000000000000000000000e-1	0.13937461534076127070575731339849e-1
0.100000000000000000000000000000000e-1	0.14491718138468587273930078369776e-1
0.100000000000000000000000000000000e-1	0.15028214107904212116550638747085e-1
0.100000000000000000000000000000000e-1	0.15544873843700818895261169057343e-1
0.100000000000000000000000000000000e-1	0.16039698489710644924392840526486e-1
0.100000000000000000000000000000000e-1	0.16510773665506471065180229754202e-1
0.100000000000000000000000000000000e-1	0.16956276872747593332917458422848e-1
0.100000000000000000000000000000000e-1	0.17374484546071851451622157493001e-1
0.100000000000000000000000000000000e-1	0.17763778721235182854701451904968e-1
0.100000000000000000000000000000000e-1	0.18122653294700965597916381698997e-1
0.100000000000000000000000000000000e-1	0.18449719850462015049738543387915e-1
0.100000000000000000000000000000000e-1	0.18743713031552392014232294542234e-1
0.100000000000000000000000000000000e-1	0.1900349543546768660933310520127e-1
0.100000000000000000000000000000000e-1	0.19228062014554347841733034732097e-1
0.100000000000000000000000000000000e-1	0.19416543964343807413512329452485e-1
0.100000000000000000000000000000000e-1	0.19568212084788188411248228512137e-1
0.100000000000000000000000000000000e-1	0.19682479601393630898494489869601e-1
0.100000000000000000000000000000000e-1	0.19758904435336817628554434345882e-1
0.100000000000000000000000000000000e-1	0.19797190913782060048720252862023e-1
0.100000000000000000000000000000000e-1	0.19797190913782060048720252862023e-1
0.100000000000000000000000000000000e-1	0.19758904435336817628554434345882e-1
0.100000000000000000000000000000000e-1	0.19682479601393630898494489869601e-1
0.100000000000000000000000000000000e-1	0.19568212084788188411248228512137e-1
0.100000000000000000000000000000000e-1	0.19416543964343807413512329452485e-1
0.100000000000000000000000000000000e-1	0.19228062014554347841733034732097e-1
0.100000000000000000000000000000000e-1	0.1900349543546768660933310520127e-1
0.100000000000000000000000000000000e-1	0.18743713031552392014232294542234e-1
0.100000000000000000000000000000000e-1	0.18449719850462015049738543387915e-1
0.100000000000000000000000000000000e-1	0.18122653294700965597916381698997e-1
0.100000000000000000000000000000000e-1	0.17763778721235182854701451904968e-1
0.100000000000000000000000000000000e-1	0.17374484546071851451622157493001e-1
0.100000000000000000000000000000000e-1	0.16956276872747593332917458422848e-1
0.100000000000000000000000000000000e-1	0.16510773665506471065180229754202e-1
0.100000000000000000000000000000000e-1	0.16039698489710644924392840526486e-1
0.100000000000000000000000000000000e-1	0.15544873843700818895261169057343e-1
0.100000000000000000000000000000000e-1	0.15028214107904212116550638747085e-1
0.100000000000000000000000000000000e-1	0.14491718138468587273930078369776e-1
0.100000000000000000000000000000000e-1	0.13937461534076127070575731339849e-1
0.100000000000000000000000000000000e-1	0.13367588605855353583142761082965e-1
0.100000000000000000000000000000000e-1	0.12784304081457941304479585605906e-1
0.100000000000000000000000000000000e-1	0.12189864575395739057747606004036e-1
0.100000000000000000000000000000000e-1	0.11586569858637609810513317082692e-1
0.100000000000000000000000000000000e-1	0.10976753961242322184693960097606e-1
0.100000000000000000000000000000000e-1	0.1036277614244967853860976952651e-1
0.100000000000000000000000000000000e-1	0.97470117631648428315826193392198e-2
0.100000000000000000000000000000000e-1	0.91318430961484532297635262940095e-2
0.100000000000000000000000000000000e-1	0.85196501094661086289855829552189e-2
0.100000000000000000000000000000000e-1	0.79128012588542725579276686117543e-2
0.100000000000000000000000000000000e-1	0.73136443246251420381972015953534e-2
0.100000000000000000000000000000000e-1	0.6724497328560716374981386365331e-2
0.100000000000000000000000000000000e-1	0.61476395659368381766620358256651e-2
0.100000000000000000000000000000000e-1	0.55853027873725634052112289112356e-2
0.100000000000000000000000000000000e-1	0.50396625646205721673104387879528e-2
0.100000000000000000000000000000000e-1	0.45128298737026998032187785390431e-2
0.100000000000000000000000000000000e-1	0.40068429279538017830095170519723e-2
0.100000000000000000000000000000000e-1	0.35236592925703191252827506031647e-2
0.100000000000000000000000000000000e-1	0.30651483111708240542674307836101e-2
0.100000000000000000000000000000000e-1	0.2633083873668711873373861573728e-2
0.100000000000000000000000000000000e-1	0.22291375534367346452974449986883e-2
0.100000000000000000000000000000000e-1	0.1854872140314353874112824379381e-2
0.100000000000000000000000000000000e-1	0.1511735594477450417350486617374e-2
0.100000000000000000000000000000000e-1	0.12010554445616951556720501298805e-2
0.100000000000000000000000000000000e-1	0.92403365171215283819905930758332e-3
0.100000000000000000000000000000000e-1	0.6817419594291134395729620029788e-3
0.100000000000000000000000000000000e-1	0.47511774720069413484845674937757e-3
0.100000000000000000000000000000000e-1	0.30496040396370185204162959110217e-3
0.100000000000000000000000000000000e-1	0.17192823542313180755414151226777e-3
0.100000000000000000000000000000000e-1	0.76535917195282078293353830498412e-4
0.100000000000000000000000000000000e-1	0.19152503627778729481714023695362e-4
0.100000000000000000000000000000000	0

Vector_Stieltjes_procedure ...
0	0	-0.90909090909090909090909090909091e-1	1
0	1.7871900826446280991735537190083	0.34297732441953415412621561029097	1
5.2468202025071623823232641750716	-3.2801700452872976357603308430224	4.8030631814316067251413713002808	1
-0.22578269733453725758012949547078	-0.77127108584144990662185048984365	1.0932358268375366478361462853319	1
1.4522415288754060001288603411188	0.75836781746621667474389749308806	-0.24976739975040551130644422866749	1
0.10910795723437510786479332764288	0.13477369297345320732739060322364	1.4628851946136098097805307705326	1
-0.13674669857015662614070018947792	0.1339038981491423890884073066172	-0.45839466684599152144254094678777	1
0.12244589631447919784958061534658	0.12768425709556171468066784807798	1.465999947390008887617111775133	1
-0.12378261009719741340857958574321	0.12817272401687828366764437391463	-0.46564601347788651705064521398521	1
0.12289151364709192562925751397315	0.12725177555933296944675888566448	1.4664611668508861053065359518352	1
-0.12302766719195803778663343377367	0.12730878747813744801651968254099	-0.46642642290507040713035448708588	1
0.12293934287670225131857688569805	0.12720894756914827241936786615929	1.4665109095241907793000974324119	1
-0.12295332951810977390519149464443	0.12721543128935015086395553369008	-0.46650734514409031309497928842585	1
0.12294428612418809060443767109324	0.12720456685647094139841109170765	1.4665163054902246311877358382758	1
-0.12294576255455977829757198650258	0.12720529553836096402094907479366	-0.46651592908808481342565986584193	1
0.12294480935195247085702664744042	0.12720410544128138265302262879794	1.4665168952410829084319211550865	1
-0.12294496811473337033629352145513	0.12720418720565547704018304529632	-0.46651685472686724302250612453435	1
0.12294486568630520494339979046912	0.12720405588553917170873491565146	1.4665169602065992653439130243493	1
-0.12294488298887956319430498866836	0.12720406507430197141220132479842	-0.4665169557865142614670396885263	1
0.12294487182969694109991937942805	0.12720405048890639351442770264813	1.4665169674126568188263939353186	1
-0.12294487373452662390727141213339	0.12720405152415565309835438117433	-0.46651696692555811172492453114496	1
0.12294487250623369945674010370712	0.12720404989509953280983490274407	1.466516968216660505155705316434	1
-0.12294487271758591514938783215032	0.12720405001205466679459462321053	-0.46651696816256385928700085800979	1
0.12294487258131093067825998252031	0.12720404982923698741281748355291	1.4665169683068106442335896241441	1
-0.12294487260490882058036162828068	0.12720404984248481906753206413097	-0.46651696830076561575632551767808	1
0.12294487258969396194532801288181	0.12720404982188526158021759788103	1.4665169683169613270978171317226	1
-0.12294487259234217382188300451855	0.12720404982338958313631411329201	-0.4665169683162824347130205711849	1
0.12294487259063473404501058373485	0.1272040498210603998060156123365	1.4665169683181083673348015871186	1
-0.12294487259093318212884358954775	0.12720404982123160380448399244837	-0.46651696831803180671213948874651	1
0.1229448725907407548641845310883	0.12720404982096745418565954869143	1.4665169683182383844828675324974	1
-0.12294487259077450940381932760778	0.12720404982098697836858455370898	-0.46651696831822972031255055916587	1
0.122944872590752745374200380421	0.12720404982095694333392702101215	1.4665169683182531614349985892028	1
-0.12294487259075657464726814743867	0.12720404982095917399039491578301	-0.46651696831825217800630516190614	1
0.12294487259075410556768921944623	0.12720404982095575105492817025767	1.4665169683182548448306371484244	1
-0.12294487259075454112024464659828	0.12720404982095600633498107766635	-0.46651696831825473291882111240111	1
0.12294487259075426027171843807953	0.12720404982095561545305168668892	1.4665169683182550369999876519965	1
-0.12294487259075430992621513980805	0.12720404982095564471191152956199	-0.46651696831825502423610245405222	1
0.12294487259075427790752891077002	0.12720404982095559999505331189948	1.4665169683182550589774592044404	1
-0.12294487259075428357971327970655	0.12720404982095560335315681871475	-0.46651696831825505751882558364462	1
0.12294487259075427992200823155236	0.12720404982095559822934391675925	1.4665169683182550614950306335189	1
-0.12294487259075428057111499543009	0.12720404982095559861524305838161	-0.46651696831825506132804911127082	1
0.12294487259075428015252609396952	0.12720404982095559802729200502302	1.4665169683182550617838483522419	1
-0.12294487259075428022692598599808	0.12720404982095559807168860428989	-0.46651696831825506176470281033025	1
