
Date:3/2/2010
Time:16:25:6
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-3.084187958e-005,0.0000000000)	(0.9997581411,0.0000000000)
(-0.09989494367,0.0000000000)	(0.7976544321,0.0000000000)
(-0.1062486870,0.0000000000)	(0.7850161291,0.0000000000)
(-0.1127442955,0.0000000000)	(0.7721020914,0.0000000000)
(-0.1193753588,0.0000000000)	(0.7589248124,0.0000000000)
(-0.1261353329,0.0000000000)	(0.7454970405,0.0000000000)
(-0.1330175464,0.0000000000)	(0.7318317660,0.0000000000)
(-0.1400152075,0.0000000000)	(0.7179422092,0.0000000000)
(-0.1471214103,0.0000000000)	(0.7038418075,0.0000000000)
(-0.1543291419,0.0000000000)	(0.6895442019,0.0000000000)
(-0.1616312891,0.0000000000)	(0.6750632246,0.0000000000)
(-0.1690206455,0.0000000000)	(0.6604128849,0.0000000000)
(-0.1764899187,0.0000000000)	(0.6456073561,0.0000000000)
(-0.1840317375,0.0000000000)	(0.6306609616,0.0000000000)
(-0.1916386590,0.0000000000)	(0.6155881611,0.0000000000)
(-0.1993031762,0.0000000000)	(0.6004035364,0.0000000000)
(-0.2070177249,0.0000000000)	(0.5851217779,0.0000000000)
(-0.2147746920,0.0000000000)	(0.5697576695,0.0000000000)
(-0.2225664222,0.0000000000)	(0.5543260750,0.0000000000)
(-0.2303852261,0.0000000000)	(0.5388419236,0.0000000000)
(-0.2382233873,0.0000000000)	(0.5233201952,0.0000000000)
(-0.2460731707,0.0000000000)	(0.5077759060,0.0000000000)
(-0.2539268293,0.0000000000)	(0.4922240940,0.0000000000)
(-0.2617766127,0.0000000000)	(0.4766798048,0.0000000000)
(-0.2696147739,0.0000000000)	(0.4611580764,0.0000000000)
(-0.2774335778,0.0000000000)	(0.4456739250,0.0000000000)
(-0.2852253080,0.0000000000)	(0.4302423305,0.0000000000)
(-0.2929822751,0.0000000000)	(0.4148782221,0.0000000000)
(-0.3006968238,0.0000000000)	(0.3995964636,0.0000000000)
(-0.3083613410,0.0000000000)	(0.3844118389,0.0000000000)
(-0.3159682625,0.0000000000)	(0.3693390384,0.0000000000)
(-0.3235100813,0.0000000000)	(0.3543926439,0.0000000000)
(-0.3309793545,0.0000000000)	(0.3395871151,0.0000000000)
(-0.3383687109,0.0000000000)	(0.3249367754,0.0000000000)
(-0.3456708581,0.0000000000)	(0.3104557981,0.0000000000)
(-0.3528785897,0.0000000000)	(0.2961581925,0.0000000000)
(-0.3599847925,0.0000000000)	(0.2820577908,0.0000000000)
(-0.3669824536,0.0000000000)	(0.2681682340,0.0000000000)
(-0.3738646671,0.0000000000)	(0.2545029595,0.0000000000)
(-0.3806246412,0.0000000000)	(0.2410751876,0.0000000000)
(-0.3872557045,0.0000000000)	(0.2278979086,0.0000000000)
(-0.3937513130,0.0000000000)	(0.2149838709,0.0000000000)
(-0.4001050563,0.0000000000)	(0.2023455679,0.0000000000)
(-0.4063106641,0.0000000000)	(0.1899952263,0.0000000000)
(-0.4123620121,0.0000000000)	(0.1779447943,0.0000000000)
(-0.4182531284,0.0000000000)	(0.1662059299,0.0000000000)
(-0.4239781991,0.0000000000)	(0.1547899897,0.0000000000)
(-0.4295315744,0.0000000000)	(0.1437080179,0.0000000000)
(-0.4349077737,0.0000000000)	(0.1329707356,0.0000000000)
(-0.4401014914,0.0000000000)	(0.1225885304,0.0000000000)
(-0.4451076018,0.0000000000)	(0.1125714464,0.0000000000)
(-0.4499211646,0.0000000000)	(0.1029291746,0.0000000000)
(-0.4545374294,0.0000000000)	(0.09367104309,0.0000000000)
(-0.4589518403,0.0000000000)	(0.08480600862,0.0000000000)
(-0.4631600411,0.0000000000)	(0.07634264752,0.0000000000)
(-0.4671578786,0.0000000000)	(0.06828914755,0.0000000000)
(-0.4709414075,0.0000000000)	(0.06065329995,0.0000000000)
(-0.4745068939,0.0000000000)	(0.05344249191,0.0000000000)
(-0.4778508192,0.0000000000)	(0.04666369941,0.0000000000)
(-0.4809698831,0.0000000000)	(0.04032348051,0.0000000000)
(-0.4838610077,0.0000000000)	(0.03442796895,0.0000000000)
(-0.4865213397,0.0000000000)	(0.02898286827,0.0000000000)
(-0.4889482537,0.0000000000)	(0.02399344623,0.0000000000)
(-0.4911393546,0.0000000000)	(0.01946452980,0.0000000000)
(-0.4930924801,0.0000000000)	(0.01540050040,0.0000000000)
(-0.4948057027,0.0000000000)	(0.01180528972,0.0000000000)
(-0.4962773315,0.0000000000)	(0.008682375889,0.0000000000)
(-0.4975059144,0.0000000000)	(0.006034780130,0.0000000000)
(-0.4984902389,0.0000000000)	(0.003865063818,0.0000000000)
(-0.4992293334,0.0000000000)	(0.002175326015,0.0000000000)
(-0.4997224687,0.0000000000)	(0.0009672014332,0.0000000000)
(-0.4999691581,0.0000000000)	(0.0002418588540,0.0000000000)
Quadrature Weights
0.01000000000	1.915250363e-005
0.01000000000	7.653591720e-005
0.01000000000	0.0001719282354
0.01000000000	0.0003049604040
0.01000000000	0.0004751177472
0.01000000000	0.0006817419594
0.01000000000	0.0009240336517
0.01000000000	0.001201055445
0.01000000000	0.001511735594
0.01000000000	0.001854872140
0.01000000000	0.002229137553
0.01000000000	0.002633083874
0.01000000000	0.003065148311
0.01000000000	0.003523659293
0.01000000000	0.004006842928
0.01000000000	0.004512829874
0.01000000000	0.005039662565
0.01000000000	0.005585302787
0.01000000000	0.006147639566
0.01000000000	0.006724497329
0.01000000000	0.007313644325
0.01000000000	0.007912801259
0.01000000000	0.008519650109
0.01000000000	0.009131843096
0.01000000000	0.009747011763
0.01000000000	0.01036277614
0.01000000000	0.01097675396
0.01000000000	0.01158656986
0.01000000000	0.01218986458
0.01000000000	0.01278430408
0.01000000000	0.01336758861
0.01000000000	0.01393746153
0.01000000000	0.01449171814
0.01000000000	0.01502821411
0.01000000000	0.01554487384
0.01000000000	0.01603969849
0.01000000000	0.01651077367
0.01000000000	0.01695627687
0.01000000000	0.01737448455
0.01000000000	0.01776377872
0.01000000000	0.01812265329
0.01000000000	0.01844971985
0.01000000000	0.01874371303
0.01000000000	0.01900349544
0.01000000000	0.01922806201
0.01000000000	0.01941654396
0.01000000000	0.01956821208
0.01000000000	0.01968247960
0.01000000000	0.01975890444
0.01000000000	0.01979719091
0.01000000000	0.01979719091
0.01000000000	0.01975890444
0.01000000000	0.01968247960
0.01000000000	0.01956821208
0.01000000000	0.01941654396
0.01000000000	0.01922806201
0.01000000000	0.01900349544
0.01000000000	0.01874371303
0.01000000000	0.01844971985
0.01000000000	0.01812265329
0.01000000000	0.01776377872
0.01000000000	0.01737448455
0.01000000000	0.01695627687
0.01000000000	0.01651077367
0.01000000000	0.01603969849
0.01000000000	0.01554487384
0.01000000000	0.01502821411
0.01000000000	0.01449171814
0.01000000000	0.01393746153
0.01000000000	0.01336758861
0.01000000000	0.01278430408
0.01000000000	0.01218986458
0.01000000000	0.01158656986
0.01000000000	0.01097675396
0.01000000000	0.01036277614
0.01000000000	0.009747011763
0.01000000000	0.009131843096
0.01000000000	0.008519650109
0.01000000000	0.007912801259
0.01000000000	0.007313644325
0.01000000000	0.006724497329
0.01000000000	0.006147639566
0.01000000000	0.005585302787
0.01000000000	0.005039662565
0.01000000000	0.004512829874
0.01000000000	0.004006842928
0.01000000000	0.003523659293
0.01000000000	0.003065148311
0.01000000000	0.002633083874
0.01000000000	0.002229137553
0.01000000000	0.001854872140
0.01000000000	0.001511735594
0.01000000000	0.001201055445
0.01000000000	0.0009240336517
0.01000000000	0.0006817419594
0.01000000000	0.0004751177472
0.01000000000	0.0003049604040
0.01000000000	0.0001719282354
0.01000000000	7.653591720e-005
0.01000000000	1.915250363e-005

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-0.2500000000	1.000000000
0.0000000000	0.03125000000	0.3146766169	1.000000000
-0.01764614428	0.1206614626	-0.06398829092	1.000000000
0.04101431941	0.09340536321	0.4180646387	1.000000000
-0.01172485137	0.1005338940	-0.09653725343	1.000000000
0.03955429463	0.09059812680	0.4355871110	1.000000000
-0.01169469899	0.09544643747	-0.1070190759	1.000000000
0.03932124996	0.08938260572	0.4429408750	1.000000000
-0.01168747379	0.09304449316	-0.1122101028	1.000000000
0.03924111072	0.08871063467	0.4469737654	1.000000000
-0.01168513292	0.09164798361	-0.1152948696	1.000000000
0.03920342657	0.08828687355	0.4495113433	1.000000000
-0.01168431783	0.09073778934	-0.1173306763	1.000000000
0.03918229111	0.08799653139	0.4512499207	1.000000000
-0.01168409803	0.09009929500	-0.1187701836	1.000000000
0.03916900351	0.08778583773	0.4525127153	1.000000000
-0.01168414069	0.08962760939	-0.1198394099	1.000000000
0.03915995692	0.08762631527	0.4534700496	1.000000000
-0.01168430482	0.08926543036	-0.1206636377	1.000000000
0.03915342947	0.08750150746	0.4542200705	1.000000000
-0.01168452356	0.08897884454	-0.1213177926	1.000000000
0.03914851025	0.08740126290	0.4548232329	1.000000000
-0.01168476279	0.08874652831	-0.1218493532	1.000000000
0.03914467782	0.08731899363	0.4553187503	1.000000000
-0.01168500435	0.08855442226	-0.1222898080	1.000000000
0.03914161417	0.08725024715	0.4557331313	1.000000000
-0.01168523848	0.08839289493	-0.1226608258	1.000000000
0.03913911505	0.08719191245	0.4560849127	1.000000000
-0.01168546001	0.08825513680	-0.1229777790	1.000000000
0.03913704340	0.08714175456	0.4563874275	1.000000000
-0.01168566645	0.08813620422	-0.1232518573	1.000000000
0.03913530377	0.08709812958	0.4566504990	1.000000000
-0.01168585686	0.08803242615	-0.1234913860	1.000000000
0.03913382751	0.08705980346	0.4568815150	1.000000000
-0.01168603122	0.08794102278	-0.1237026788	1.000000000
0.03913256389	0.08702583324	0.4570861323	1.000000000
-0.01168619002	0.08785985287	-0.1238906039	1.000000000
0.03913147447	0.08699548701	0.4572687520	1.000000000
-0.01168633409	0.08778724193	-0.1240589713	1.000000000
0.03913052955	0.08696818866	0.4574328461	1.000000000
-0.01168646440	0.08772186273	-0.1242108023	1.000000000
0.03912970574	0.08694347896	0.4575811890	1.000000000
-0.01168658196	0.08766265040	-0.1243485217	1.000000000
0.03912898433	0.08692098765	0.4577160228	1.000000000
-0.01168668784	0.08760874116	-0.1244740970	1.000000000
0.03912835017	0.08690041306	0.4578391787	1.000000000
-0.01168678304	0.08755942724	-0.1245891402	1.000000000
0.03912779080	0.08688150702	0.4579521662	1.000000000
-0.01168686854	0.08751412335	-0.1246949846	1.000000000
0.03912729593	0.08686406357	0.4580562409	1.000000000
-0.01168694524	0.08747234138	-0.1247927423	1.000000000
0.03912685691	0.08684791035	0.4581524555	1.000000000
-0.01168701399	0.08743367102	-0.1248833479	1.000000000
0.03912646650	0.08683290198	0.4582416994	1.000000000
-0.01168707557	0.08739776484	-0.1249675930	1.000000000
0.03912611850	0.08681891499	0.4583247291	1.000000000
-0.01168713070	0.08736432665	-0.1250461528	1.000000000
0.03912580767	0.08680584377	0.4584021925	1.000000000
-0.01168718002	0.08733310231	-0.1251196063	1.000000000
0.03912552948	0.08679359746	0.4584746477	1.000000000
-0.01168722414	0.08730387248	-0.1251884538	1.000000000
0.03912528003	0.08678209734	0.4585425784	1.000000000
-0.01168726358	0.08727644678	-0.1252531295	1.000000000
0.03912505596	0.08677127490	0.4586064059	1.000000000
-0.01168729883	0.08725065908	-0.1253140125	1.000000000
0.03912485433	0.08676107017	0.4586664990	1.000000000
-0.01168733032	0.08722636374	-0.1253714354	1.000000000
0.03912467260	0.08675143038	0.4587231824	1.000000000
-0.01168735846	0.08720343242	-0.1254256915	1.000000000
0.03912450853	0.08674230890	0.4587767427	1.000000000
-0.01168738360	0.08718175158	-0.1254770405	1.000000000
0.03912436017	0.08673366431	0.4588274346	1.000000000
-0.01168740605	0.08716122033	-0.1255257132	1.000000000
0.03912422580	0.08672545972	0.4588754846	1.000000000
-0.01168742609	0.08714174871	-0.1255719159	1.000000000
0.03912410392	0.08671766208	0.4589210956	1.000000000
-0.01168744399	0.08712325615	-0.1256158332	1.000000000
0.03912399319	0.08671024170	0.4589644494	1.000000000
-0.01168745998	0.08710567028	-0.1256576312	1.000000000
0.03912389244	0.08670317184	0.4590057101	1.000000000
-0.01168747425	0.08708892589	-0.1256974600	1.000000000
0.03912380063	0.08669642829	0.4590450254	1.000000000
-0.01168748699	0.08707296402	-0.1257354552	1.000000000
0.03912371683	0.08668998910	0.4590825294	1.000000000
-0.01168749837	0.08705773119	-0.1257717400	1.000000000
0.03912364024	0.08668383430	0.4591183440	1.000000000
-0.01168750853	0.08704317882	-0.1258064265	1.000000000
0.03912357012	0.08667794565	0.4591525801	1.000000000
-0.01168751761	0.08702926259	-0.1258396170	1.000000000
0.03912350583	0.08667230649	0.4591853388	1.000000000
-0.01168752571	0.08701594202	-0.1258714053	1.000000000
0.03912344679	0.08666690155	0.4592167129	1.000000000
-0.01168753295	0.08700318004	-0.1259018771	1.000000000
0.03912339249	0.08666171677	0.4592467874	1.000000000
-0.01168753942	0.08699094261	-0.1259311114	1.000000000
0.03912334248	0.08665673923	0.4592756403	1.000000000
-0.01168754520	0.08697919845	-0.1259591809	1.000000000
0.03912329635	0.08665195699	0.4593033438	1.000000000
-0.01168755037	0.08696791870	-0.1259861526	1.000000000
0.03912325372	0.08664735902	0.4593299641	0.0000000000
Matrix from Quadrature
-0.2500000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.03125000000	0.3146766169	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.01764614428	0.1206614626	-0.06398829092	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.04101431941	0.09340536321	0.4180646387	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	-0.01172485137	0.1005338940	-0.09653725343	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.03955429463	0.09059812680	0.4355871110	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.01169469899	0.09544643747	-0.1070190759	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.03932124996	0.08938260572	0.4429408750	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
