
Date:2/2/2010
Time:10:58:3
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(0.9998766325,0.0000000000)	(1.999876632,0.0000000000)
(0.5490228180,0.0000000000)	(1.549022818,0.0000000000)
(0.5224985647,0.0000000000)	(1.522498565,0.0000000000)
(0.4954586684,0.0000000000)	(1.495458668,0.0000000000)
(0.4679298143,0.0000000000)	(1.467929814,0.0000000000)
(0.4399391699,0.0000000000)	(1.439939170,0.0000000000)
(0.4115143586,0.0000000000)	(1.411514359,0.0000000000)
(0.3826834324,0.0000000000)	(1.382683432,0.0000000000)
(0.3534748438,0.0000000000)	(1.353474844,0.0000000000)
(0.3239174182,0.0000000000)	(1.323917418,0.0000000000)
(0.2940403252,0.0000000000)	(1.294040325,0.0000000000)
(0.2638730500,0.0000000000)	(1.263873050,0.0000000000)
(0.2334453639,0.0000000000)	(1.233445364,0.0000000000)
(0.2027872954,0.0000000000)	(1.202787295,0.0000000000)
(0.1719291003,0.0000000000)	(1.171929100,0.0000000000)
(0.1409012319,0.0000000000)	(1.140901232,0.0000000000)
(0.1097343111,0.0000000000)	(1.109734311,0.0000000000)
(0.07845909573,0.0000000000)	(1.078459096,0.0000000000)
(0.04710645071,0.0000000000)	(1.047106451,0.0000000000)
(0.01570731731,0.0000000000)	(1.015707317,0.0000000000)
(-0.01570731731,0.0000000000)	(0.9842926827,0.0000000000)
(-0.04710645071,0.0000000000)	(0.9528935493,0.0000000000)
(-0.07845909573,0.0000000000)	(0.9215409043,0.0000000000)
(-0.1097343111,0.0000000000)	(0.8902656889,0.0000000000)
(-0.1409012319,0.0000000000)	(0.8590987681,0.0000000000)
(-0.1719291003,0.0000000000)	(0.8280708997,0.0000000000)
(-0.2027872954,0.0000000000)	(0.7972127046,0.0000000000)
(-0.2334453639,0.0000000000)	(0.7665546361,0.0000000000)
(-0.2638730500,0.0000000000)	(0.7361269500,0.0000000000)
(-0.2940403252,0.0000000000)	(0.7059596748,0.0000000000)
(-0.3239174182,0.0000000000)	(0.6760825818,0.0000000000)
(-0.3534748438,0.0000000000)	(0.6465251562,0.0000000000)
(-0.3826834324,0.0000000000)	(0.6173165676,0.0000000000)
(-0.4115143586,0.0000000000)	(0.5884856414,0.0000000000)
(-0.4399391699,0.0000000000)	(0.5600608301,0.0000000000)
(-0.4679298143,0.0000000000)	(0.5320701857,0.0000000000)
(-0.4954586684,0.0000000000)	(0.5045413316,0.0000000000)
(-0.5224985647,0.0000000000)	(0.4775014353,0.0000000000)
(-0.5490228180,0.0000000000)	(0.4509771820,0.0000000000)
(-0.5750052520,0.0000000000)	(0.4249947480,0.0000000000)
(-0.6004202253,0.0000000000)	(0.3995797747,0.0000000000)
(-0.6252426563,0.0000000000)	(0.3747573437,0.0000000000)
(-0.6494480483,0.0000000000)	(0.3505519517,0.0000000000)
(-0.6730125135,0.0000000000)	(0.3269874865,0.0000000000)
(-0.6959127966,0.0000000000)	(0.3040872034,0.0000000000)
(-0.7181262978,0.0000000000)	(0.2818737022,0.0000000000)
(-0.7396310950,0.0000000000)	(0.2603689050,0.0000000000)
(-0.7604059656,0.0000000000)	(0.2395940344,0.0000000000)
(-0.7804304073,0.0000000000)	(0.2195695927,0.0000000000)
(-0.7996846585,0.0000000000)	(0.2003153415,0.0000000000)
(-0.8181497174,0.0000000000)	(0.1818502826,0.0000000000)
(-0.8358073614,0.0000000000)	(0.1641926386,0.0000000000)
(-0.8526401644,0.0000000000)	(0.1473598356,0.0000000000)
(-0.8686315144,0.0000000000)	(0.1313684856,0.0000000000)
(-0.8837656301,0.0000000000)	(0.1162343699,0.0000000000)
(-0.8980275758,0.0000000000)	(0.1019724242,0.0000000000)
(-0.9114032766,0.0000000000)	(0.08859672336,0.0000000000)
(-0.9238795325,0.0000000000)	(0.07612046749,0.0000000000)
(-0.9354440308,0.0000000000)	(0.06455596917,0.0000000000)
(-0.9460853588,0.0000000000)	(0.05391464117,0.0000000000)
(-0.9557930148,0.0000000000)	(0.04420698520,0.0000000000)
(-0.9645574185,0.0000000000)	(0.03544258154,0.0000000000)
(-0.9723699204,0.0000000000)	(0.02763007960,0.0000000000)
(-0.9792228106,0.0000000000)	(0.02077718938,0.0000000000)
(-0.9851093262,0.0000000000)	(0.01489067385,0.0000000000)
(-0.9900236577,0.0000000000)	(0.009976342283,0.0000000000)
(-0.9939609555,0.0000000000)	(0.006039044545,0.0000000000)
(-0.9969173337,0.0000000000)	(0.003082666267,0.0000000000)
(-0.9988898750,0.0000000000)	(0.001110125038,0.0000000000)
(-0.9998766325,0.0000000000)	(0.0001233675183,0.0000000000)
Quadrature Weights
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-2.472510325e-096	1.000000000
0.0000000000	0.5000000000	-49.00000000	1.000000000
24.50000000	-2400.000000	48.98469388	1.000000000
3.280612245	-0.06684018740	1.901269198	1.000000000
0.001418647578	-0.07086612236	-0.3102310431	1.000000000
0.1943015751	0.4616566686	1.083371298	1.000000000
-0.3888833676	0.6906778663	0.4787311326	1.000000000
-0.3496326486	0.08181855057	2.689085345	1.000000000
-1.047700307	1.456169426	0.2231534248	1.000000000
-4.453994562	-1.241056892	0.7355845960	1.000000000
-0.09469678875	0.3692360298	0.06745265726	1.000000000
0.3555143288	0.6250598635	1.198367143	1.000000000
-0.4039722287	0.4871255595	0.04861011785	1.000000000
0.2203280692	0.3738460394	1.362997188	1.000000000
-0.3569764716	0.2921882964	-0.4244499014	1.000000000
0.4406781045	0.2973165805	1.520893343	1.000000000
-0.1010257643	0.2038441884	-0.4751965616	1.000000000
0.2023989552	0.2383486402	1.504682947	1.000000000
-0.1930889406	0.3799155192	-0.1743935209	1.000000000
0.2177568693	0.4320283637	0.9710171020	1.000000000
-0.2594403743	0.7084776338	0.2719810189	1.000000000
0.4263308397	0.5778521701	0.8169560308	1.000000000
-0.2368410037	0.3833406818	-0.3062901934	1.000000000
1.447754517	1.026810770	0.8928960953	1.000000000
-0.4567000863	0.2470569324	0.3792148912	1.000000000
0.1407264534	0.5590660773	1.468979632	1.000000000
-0.7745307785	0.5648989725	-0.03432460576	1.000000000
0.06338618851	0.3480442463	1.532837335	1.000000000
-0.4501689312	0.3699911617	-0.1656672358	1.000000000
0.1661072499	0.3667727842	0.8803439819	1.000000000
-0.2045726345	1.030241289	0.06009705228	1.000000000
0.4734568351	0.5239702791	0.3005774246	1.000000000
-0.02593808830	0.3338642751	-0.9224188288	1.000000000
4.164989644	2.313001377	0.1561337308	1.000000000
-2.532780332	0.9902342795	1.407806918	1.000000000
0.01292335376	0.1661903365	1.528529108	1.000000000
-1.099554124	3.271896861	1.288258077	1.000000000
-1.692380928	-0.2895435241	-1.353103280	1.000000000
0.6607570182	-3.220970338	2.621941816	1.000000000
0.8071641766	-0.4750382266	2.545953585	1.000000000
0.1453775766	-1.042338715	-1.060589805	1.000000000
-1.906559384	-0.4718539988	0.4837760211	1.000000000
-0.02660387857	0.2038315129	-0.5127400833	1.000000000
0.4045100004	0.3960923484	1.414424155	1.000000000
-0.2604474222	0.2563577647	0.1141961505	1.000000000
0.2910744104	0.6220800764	1.385311634	1.000000000
-0.4965863371	0.3513456973	0.3952279354	1.000000000
0.02455398738	0.3349711417	1.502684206	1.000000000
-0.4902457119	0.4219918111	-0.06125645230	1.000000000
0.1015701781	0.2424049161	0.7990790007	1.000000000
-0.1739189710	0.9938355302	0.1001954287	1.000000000
0.7702559951	0.7671503448	-0.1318436415	1.000000000
0.05643484508	-0.1121605840	1.169450676	1.000000000
0.3942844960	-0.2833633258	2.288844680	1.000000000
-0.2290567163	0.1222756711	-0.4752235059	1.000000000
-0.9996635051	-0.01002131747	0.9907361405	1.000000000
-0.3093121369	0.7951240383	0.6846928307	1.000000000
0.1539716070	0.5145981057	0.6330653536	1.000000000
-0.3355338162	1.099189372	0.7163495111	1.000000000
-0.005845810011	0.2177708879	1.428744284	1.000000000
-0.3933171903	1.404341348	0.3857685174	1.000000000
-0.6294290447	-0.06031480533	-0.3277489298	1.000000000
0.03889549300	-0.06049565433	15.76101924	1.000000000
-6.778213695	-1.241861381	0.8781507783	1.000000000
-3.882645777	-0.1052821091	-0.1632955177	1.000000000
0.1784055262	0.6067498043	-0.1936922104	1.000000000
0.1614445538	0.5734140202	-0.3848121330	1.000000000
2.544133749	-1.375918165	1.665692347	1.000000000
-1.138982834	0.7463460127	25.53070082	1.000000000
-4.677894399	6.586567377	1.149683153	1.000000000
-30.42505029	-0.9222647520	-0.8037559644	1.000000000
0.4293371478	0.2763039739	0.5715047271	1.000000000
-0.04406181387	0.2546208179	0.4977741970	1.000000000
0.2940999302	0.6016868070	0.5112390027	1.000000000
-0.4184688884	0.5970687973	0.4307375396	1.000000000
0.2330108788	0.2871293675	1.387504593	1.000000000
-0.2106223319	0.4068755281	-0.1918507784	1.000000000
-0.02374690838	0.2481682719	1.342994523	1.000000000
-0.3841959205	0.4750148441	0.02027077886	1.000000000
0.05006426404	0.3731376072	0.5307280460	1.000000000
-0.1565969451	0.5119939204	0.2266267551	1.000000000
0.4297839380	0.8477528104	0.6466287319	1.000000000
-0.2550068370	0.5669835155	0.1027374441	1.000000000
0.5894746837	0.7862159733	0.08581730703	1.000000000
-0.1040160078	0.1869917909	-0.4003522532	1.000000000
0.5299026565	0.5943106406	1.020757946	1.000000000
-0.4973511959	0.6610240726	0.4835261593	1.000000000
0.09230843797	0.1997976268	1.395092078	1.000000000
-0.2945449337	0.7298204042	-0.1250535807	1.000000000
0.1318072607	0.2853352067	0.8232532344	1.000000000
-0.2394435627	0.6762971944	0.3444474632	1.000000000
0.2546948577	0.4371767191	0.4499666525	1.000000000
-0.1344622097	0.6923720015	0.5300038216	1.000000000
0.2567066666	0.6347652089	-0.6400571770	1.000000000
0.1287555358	0.3778643187	-0.2865258877	1.000000000
3.958850160	-2.762924566	2.385846212	1.000000000
-0.06455330467	0.06309189389	-2.611548868	1.000000000
0.3867132045	-1.198021224	1.810233316	1.000000000
2.561968822	-0.4538894890	-0.1700052853	1.000000000
0.3394482390	0.3900075942	1.162752471	0.0000000000
Matrix from Quadrature
-2.472510325e-096	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.5000000000	-49.00000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
24.50000000	-2400.000000	48.98469388	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	3.280612245	-0.06684018740	1.901269198	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.001418647578	-0.07086612236	-0.3102310431	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.1943015751	0.4616566686	1.083371298	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.3888833676	0.6906778663	0.4787311326	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.3496326486	0.08181855057	2.689085345	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-1.047700307	1.456169426	0.2231534248	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
