
Date:2/2/2010
Time:10:59:22
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
0.01000000000	0.0009240336517
0.01000000000	0.0006817419594
0.01000000000	0.0004751177472
0.01000000000	0.0003049604040
0.01000000000	0.0001719282354
0.01000000000	7.653591720e-005
0.01000000000	1.915250363e-005

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-2.472510325e-096	1.000000000
0.0000000000	0.5000000000	0.009900990099	1.000000000
-0.004950495050	0.7499019704	50.49009901	1.000000000
-36.87500000	-2449.250000	-48.49152542	1.000000000
-17.11864407	-0.3424446998	-0.9984745763	1.000000000
-0.001279661017	-0.3663500000	2.641490066	1.000000000
0.3519608858	-1.996873081	-0.1293738477	1.000000000
0.9876337570	0.2373686352	-0.3317447443	1.000000000
0.2123431371	0.6702322406	0.5011636764	1.000000000
0.1595318583	0.4745230379	0.9275978600	1.000000000
-0.1982284744	0.3123328903	-0.1983101365	1.000000000
0.2135255923	0.2394663658	1.140534673	1.000000000
-0.2169360427	0.3736345419	0.1807755206	1.000000000
0.1803634504	0.5053458157	0.4634107352	1.000000000
-0.1194243792	0.6627999733	1.355913890	1.000000000
-0.2923913450	0.2712743106	0.8322419561	1.000000000
-0.9552122155	-1.288000557	-1.378763379	1.000000000
-0.2109002211	-0.3980497649	2.083495805	1.000000000
0.03575186869	-0.5182919896	2.025802284	1.000000000
1.275040943	-3.981341730	-2.046563848	1.000000000
1.315905796	0.6963145874	0.7320788592	1.000000000
0.06220564738	0.5359260420	0.7247241977	1.000000000
-0.1703634503	0.4104978364	-0.09423795065	1.000000000
0.2253405760	0.2584751039	1.182311893	1.000000000
-0.2105729303	0.3027452028	0.009930967252	1.000000000
0.1992361910	0.4375278209	0.6772519843	1.000000000
-0.1784473340	0.6034985651	0.8110062737	1.000000000
-0.01072464649	0.5657365076	12.27984541	1.000000000
-7.091819175	-153.5628978	-12.52351757	1.000000000
-8.285075186	-0.6983505644	2.085488190	1.000000000
-0.002828108939	-0.2419176847	-2.563120903	1.000000000
-0.4301042016	-6.187766215	2.376694609	1.000000000
-2.191305153	0.6566723839	1.143516873	1.000000000
-0.1168327678	0.5675440379	0.5228887858	1.000000000
-0.1198708318	0.5021559599	0.05398944333	1.000000000
0.2234801143	0.3177571658	1.151483213	1.000000000
-0.2069995862	0.2709895561	-0.1105238712	1.000000000
0.2052734202	0.3576642201	0.8642336907	1.000000000
-0.2119271188	0.5351945745	0.5512177444	1.000000000
0.09166066656	0.5756196795	-0.4168164420	1.000000000
0.2634578961	0.5141904530	-0.2867094896	1.000000000
1.790338599	-2.517795019	2.698417565	1.000000000
0.1611323558	-0.2153311082	-1.188200983	1.000000000
-0.02037633025	-0.9727148775	-1.335210679	1.000000000
-2.901728272	-5.887207307	3.633252357	1.000000000
-1.427648442	0.5728685626	0.2895871439	1.000000000
-0.03710343136	0.5792324327	0.2365253308	1.000000000
0.1997364616	0.3986884145	1.056439369	1.000000000
-0.2047176518	0.2820638192	-0.1704310238	1.000000000
0.2091344808	0.2891036717	1.020180525	1.000000000
-0.2229861313	0.4545169637	0.3511211793	1.000000000
0.1496766178	0.5508771233	0.1944828683	1.000000000
-0.01734550140	0.7082675523	10.21412640	1.000000000
-6.371769468	-84.77876316	-8.217037265	1.000000000
-3.778511122	-0.3863065181	-1.041016639	1.000000000
-0.005543805483	-0.4533061350	2.893276621	1.000000000
0.5095738264	-2.882039256	-0.5505205456	1.000000000
1.157542130	0.4686332292	-0.08675217448	1.000000000
0.1375329730	0.6401185338	0.4403335345	1.000000000
0.1505340250	0.4760405514	0.9127359685	1.000000000
-0.1956292462	0.3327157252	-0.1614279052	1.000000000
0.2160850436	0.2547528717	1.127602030	1.000000000
-0.2194628059	0.3719220977	0.1714495656	1.000000000
0.1842037202	0.5059249355	0.4646646767	1.000000000
-0.1175623255	0.6620640905	1.396835280	1.000000000
-0.3148800621	0.2346637676	0.7755156333	1.000000000
-0.9635079631	-1.220942770	-1.353884034	1.000000000
-0.1881265984	-0.3967083767	2.108464014	1.000000000
0.04786500248	-0.5929929126	1.480618601	1.000000000
1.157740686	-1.993406810	-1.493536233	1.000000000
0.9839522582	0.6896392479	0.6780148685	1.000000000
0.07087417156	0.5332771638	0.7388285281	1.000000000
-0.1707365549	0.4106054224	-0.08430555307	1.000000000
0.2234406262	0.2657540387	1.172035592	1.000000000
-0.2122531713	0.3063788896	0.01448500177	1.000000000
0.2007152722	0.4399218949	0.6714564693	1.000000000
-0.1765319837	0.6053912282	0.8288863773	1.000000000
-0.01898344165	0.5656284191	7.382757860	1.000000000
-4.339005783	-56.03073928	-7.618115952	1.000000000
-4.532579395	-0.6521018581	2.072235843	1.000000000
-0.004040369059	-0.2606997144	-2.978360267	1.000000000
-0.5776898235	-8.504070662	2.844819583	1.000000000
-2.437740161	0.6815829513	1.063591895	1.000000000
-0.09019452604	0.5681749805	0.5456866436	1.000000000
-0.1241624092	0.4960465242	0.05019806113	1.000000000
0.2215170999	0.3184807964	1.147971016	1.000000000
-0.2079469448	0.2741338426	-0.1036046841	1.000000000
0.2062169973	0.3618537183	0.8555959798	1.000000000
-0.2106954896	0.5383900976	0.5627124213	1.000000000
0.08780451267	0.5787984956	-0.4993249200	1.000000000
0.3064645511	0.4323797722	-0.1092607940	1.000000000
1.750216272	-2.172575233	2.597244850	1.000000000
0.1343551205	-0.2162822203	-1.223890037	1.000000000
-0.02985765409	-1.068243264	-0.5770575121	1.000000000
-2.398627644	-2.692489563	2.888062890	1.000000000
-1.038393477	0.5792204452	0.3193621537	1.000000000
-0.04639510181	0.5719279658	0.2242307856	1.000000000
0.1998080529	0.3953939760	1.060087984	1.000000000
-0.2053073803	0.2826094981	-0.1654589151	1.000000000
0.2094422489	0.2934426022	1.011323146	0.0000000000
Matrix from Quadrature
-2.472510325e-096	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.5000000000	0.009900990099	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.004950495050	0.7499019704	50.49009901	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	-36.87500000	-2449.250000	-48.49152542	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	-17.11864407	-0.3424446998	-0.9984745763	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	-0.001279661017	-0.3663500000	2.641490066	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.3519608858	-1.996873081	-0.1293738477	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.9876337570	0.2373686352	-0.3317447443	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2123431371	0.6702322406	0.5011636764	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
