
Date:3/2/2010
Time:14:33:40
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
-0.3092759456	0.2068934570	-0.09454603780	-0.5350501172	1.000000000
0.03757609165	-0.01323863155	-0.07279443282	1.122421485	1.000000000
-0.01658021855	-0.01999322208	1.040384241	4.523705186	1.000000000
0.04150142000	-3.207866076	-11.67861211	-2.898717440	1.000000000
2.018866892	8.109514814	1.534260177	-3.774889605	1.000000000
-2.595082296	-0.5061705654	-4.502305168	1.720836282	1.000000000
-0.02094222115	3.729930878	-0.6854814246	-0.5106718534	1.000000000
7.016772521	-1.377258666	0.4572442619	-0.06008170823	1.000000000
0.02160040514	-0.002974654472	-0.1358151060	1.580964306	1.000000000
0.04718706195	0.7247629634	-2.918489762	-3.159445204	1.000000000
-0.1028761489	0.2120099700	-0.7481273039	0.2799180551	1.000000000
-0.4380495449	0.07414289732	-2.663493269	0.5568731903	1.000000000
-2.415537406	3.392213595	1.555201863	-1.050393128	1.000000000
5.273825681	-3.156376801	-2.149919015	-12.04944831	1.000000000
1.626136054	0.2882357433	5.125615399	0.3583073153	1.000000000
-0.1340900228	-4.315799018	0.3398501306	-0.7891133861	1.000000000
0.7068455390	0.02074856954	0.05485498700	0.4700608064	1.000000000
-0.01547996147	-0.04473280955	0.1599575970	-0.04038353423	1.000000000
0.01423146370	-0.08797519911	0.5611897896	-0.03623393087	1.000000000
0.07600285579	-0.3187418942	-0.4992154408	-0.8365544257	1.000000000
0.5484669838	0.7285169765	1.555367014	-0.3848676877	1.000000000
-0.05747058950	-0.2799769895	0.08720934158	-1.219124349	1.000000000
0.1349859097	0.03949086810	0.2460736433	0.07129328739	1.000000000
-0.09919387629	0.2407927081	-0.3309065857	1.225156166	1.000000000
-0.2875091799	0.3657272887	-0.5226924904	-1.235508529	1.000000000
-0.08560048427	0.1643781327	0.07111437763	0.1933771103	1.000000000
-0.1623164090	-0.1020160238	-0.06105697524	0.9556433434	1.000000000
0.02824428298	-0.06467243020	0.05739664889	-0.8296691843	1.000000000
-0.02952873680	0.08716943201	0.08151522367	-1.115605175	1.000000000
0.05187610265	0.04394476296	-0.9539812477	1.282129199	1.000000000
0.003782383914	0.4990061942	-0.2635518729	-2.534844934	1.000000000
4.381357907	-2.324885577	-25.83885810	-51.58390127	1.000000000
5.135309591	-56.54170644	-31.31976612	1.552449129	1.000000000
62.58779984	17.60521774	-0.5884955720	-0.5385858727	1.000000000
30.10551554	-0.5015490349	-0.08225067357	-1.668702973	1.000000000
-0.006175461579	-0.009205563543	-1.027399322	1.213499876	1.000000000
0.02106613335	0.7007251313	-0.2720665918	0.4459884179	1.000000000
-14.95760758	5.899232999	-22.90506426	-1.738314337	1.000000000
0.5096242892	-0.7320148428	15.22059082	0.4850766145	1.000000000
-2.711236962	-6.803377434	0.2774248500	0.2230170536	1.000000000
-1.866461117	0.05322775849	0.4242834740	-1.332843461	1.000000000
-0.006735505661	0.3885052883	-1.518586352	1.423450095	1.000000000
0.007771658142	0.4510496710	-0.3002457451	0.8233683696	1.000000000
-0.6967986291	0.4496211646	-1.775675547	-0.7102323569	1.000000000
0.02228639059	-1.138385516	-0.1823714022	1.415169048	1.000000000
1.901884238	1.088590611	-0.9563054872	-1.314008826	1.000000000
-0.4133820592	-1.309036615	-0.4762275505	-0.8374408098	1.000000000
1.203723823	0.6141716787	0.9643956286	0.4446246971	1.000000000
-0.06329388345	-0.08216524858	-0.1163393196	-1.134001785	1.000000000
-0.3465582024	-0.1147138436	0.2646334033	0.07577195025	1.000000000
-0.2021598162	0.5486131652	-0.4280463479	0.3222485606	1.000000000
-0.5111638852	0.3251582199	-0.03234270371	-0.7161495629	1.000000000
-0.009337753260	0.03761281754	0.1853365486	-2.185048756	1.000000000
0.4317354515	0.7391462518	-3.922051905	1.955069347	1.000000000
0.05562395896	-0.3242450949	0.1028234934	-0.1666407419	1.000000000
0.06882084537	-0.01573032584	-0.2061086914	1.087138673	1.000000000
-0.004378182169	-0.2189079621	0.5205897730	37.81382159	1.000000000
8.786000460	-18.90885708	-1226.079356	-32.50732065	1.000000000
0.3054931987	-26.47659114	-0.6941053108	-0.1835573345	1.000000000
-4.454567913	-0.1196598571	-0.04732508118	1.028771776	1.000000000
0.005839840022	-0.02645294605	-0.02377201028	-0.9120581881	1.000000000
-0.1772038587	0.09399282385	0.1601565235	-1.145563498	1.000000000
-0.05019786161	-0.01757069548	-0.3528700212	0.9050289377	1.000000000
-0.005841027068	0.1888159288	-0.1157027520	-0.5345156023	0.0000000000
Matrix from Quadrature
-0.7500000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.03125000000	0.7500000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
