
Date:2/2/2010
Time:10:43:42
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-6.168375917e-005,0.0000000000)	(0.9999383162,0.0000000000)
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-0.5000000000	1.000000000
0.0000000000	0.1250000000	-0.2376237624	1.000000000
-0.03279702970	0.07224781884	-0.4628479357	1.000000000
0.02306970141	0.1844908801	0.6947844477	1.000000000
-0.1202602033	0.1281600196	-0.4336290000	1.000000000
0.04551239042	0.1145923771	0.4712531125	1.000000000
-0.04149623871	0.1162661340	-0.6055307712	1.000000000
0.09905689657	0.1711775070	0.4056081718	1.000000000
-0.05511622867	0.1154684122	-0.5703766644	1.000000000
0.1078348715	0.1882389773	0.5025873317	1.000000000
-0.06081851694	0.1059579486	-0.6515198324	1.000000000
0.1096361574	0.1558152110	0.6151486892	1.000000000
-0.04725864613	0.07296236830	-0.6972280758	1.000000000
0.07926592171	0.1275811710	0.6601360900	1.000000000
-0.05607985779	0.07463558587	-0.6827526390	1.000000000
0.06118797852	0.1224210124	0.6552568287	1.000000000
-0.06703687091	0.1016700425	-0.6503387962	1.000000000
0.07870901596	0.1456070382	0.5915196068	1.000000000
-0.06701641972	0.1265700099	-0.5909662338	1.000000000
0.1041540398	0.1930297151	0.5248846065	1.000000000
-0.07463570740	0.1305725238	-0.5735401316	1.000000000
0.1068111647	0.2148703094	0.5579945718	1.000000000
-0.08553887757	0.1252798844	-0.6084666301	1.000000000
0.09517331226	0.1933779442	0.6339113153	1.000000000
-0.08411794337	0.1157540588	-0.6338162545	1.000000000
0.08078961950	0.1751887851	0.6393272563	1.000000000
-0.08256017885	0.1235417447	-0.6139578820	1.000000000
0.08086183750	0.1978363306	0.5698941185	1.000000000
-0.09157828496	0.1613716149	-0.5347262899	1.000000000
0.1078315689	0.2492369868	0.4831508354	1.000000000
-0.09298510067	0.1700843912	-0.5184059853	1.000000000
0.1292351018	0.2734689495	0.5076137152	1.000000000
-0.09264144759	0.1350966346	-0.5954791889	1.000000000
0.1044934158	0.2303233628	0.6401059031	1.000000000
-0.09904549545	0.1182329299	-0.6349108318	1.000000000
0.07091932430	0.1807925108	0.6945912458	1.000000000
-0.09704978514	0.1282882836	-0.6192137082	1.000000000
0.06736073373	0.1877104912	0.5800711528	1.000000000
-0.09420971536	0.1840303542	-0.5297259370	1.000000000
0.1172751789	0.2662367694	0.3957992525	1.000000000
-0.08508927226	0.1853864579	-0.4874954671	1.000000000
0.1729347630	0.3510263057	0.4436730831	1.000000000
-0.09137054150	0.1215881264	-0.5746977873	1.000000000
0.1049750213	0.2587702093	0.6751404235	1.000000000
-0.1134968994	0.1070418311	-0.6660657334	1.000000000
0.04396623801	0.1490921767	0.7776552910	1.000000000
-0.09903868139	0.1118353257	-0.6885026570	1.000000000
0.04766591897	0.1476058426	0.5762723115	1.000000000
-0.07663500960	0.2014896485	-0.5174631996	1.000000000
0.1489603588	0.3111632203	0.2276677838	1.000000000
-0.06068479994	0.1495921453	-0.4457978372	1.000000000
0.1955750735	0.4822402090	0.4009385814	1.000000000
-0.1043635220	0.1100268208	-0.4930225012	1.000000000
0.06788790434	0.2508988331	0.7057778919	1.000000000
-0.1265121964	0.1187551380	-0.7479872042	1.000000000
0.03999810593	0.09414750542	0.7333540691	1.000000000
-0.05289154022	0.1022984467	-0.8082213381	1.000000000
0.1192511570	0.1355964100	0.5379075021	1.000000000
-0.03414158555	0.06632327293	-0.6278300033	1.000000000
0.1076446253	0.2978864443	0.6575960289	1.000000000
-0.1513585757	0.1185876270	-0.3463790526	1.000000000
0.02344719708	0.1879208242	0.7354583224	1.000000000
-0.1668494715	0.1904430184	-0.7048575161	1.000000000
0.04350594244	0.07828562136	0.6132931241	1.000000000
-0.03447322900	0.1106408863	-0.8369648520	1.000000000
0.1846109385	0.1618960744	0.5982017962	1.000000000
-0.02416740587	0.03233120374	-0.6740607004	1.000000000
0.06024866932	0.2496634599	0.6937493047	1.000000000
-0.1545021804	0.1585828204	-0.2573357041	1.000000000
0.04073831385	0.2033531573	0.4194104958	1.000000000
-0.1169362442	0.2387332412	-0.6346558005	1.000000000
0.1540341545	0.1958904318	0.5714658420	1.000000000
-0.04958366215	0.06284720863	-0.7927099802	1.000000000
0.08280046696	0.1386425121	0.7213601370	1.000000000
-0.06245198524	0.09728527014	-0.6052161966	1.000000000
0.08954136955	0.2246291348	0.5419181992	1.000000000
-0.1089890879	0.1281132432	-0.5053970685	1.000000000
0.07282750729	0.2499930129	0.6317807070	1.000000000
-0.1429934920	0.1683537730	-0.5419070811	1.000000000
0.05677648055	0.1964439523	0.6035535737	1.000000000
-0.1131648157	0.1954142273	-0.6196277148	1.000000000
0.1265905330	0.2042536313	0.5121193292	1.000000000
-0.06789698171	0.1224225533	-0.6913953424	1.000000000
0.1415560688	0.2360431654	0.6337623987	1.000000000
-0.08270674215	0.1120902748	-0.5720447096	1.000000000
0.08779801838	0.2614295365	0.6182153954	1.000000000
-0.1343362777	0.1619722655	-0.5279127976	1.000000000
0.07810530078	0.2359206302	0.5913333549	1.000000000
-0.1228086642	0.1786382250	-0.6185230252	1.000000000
0.09826579617	0.2058104271	0.6028605332	1.000000000
-0.08940077280	0.1586739799	-0.6396042650	1.000000000
0.1324173865	0.2395085005	0.5651846903	1.000000000
-0.08690114667	0.1423612534	-0.5758881145	1.000000000
0.1240994143	0.2901677169	0.5822317048	1.000000000
-0.1227272449	0.1559956740	-0.5290718891	1.000000000
0.08679629698	0.2536852782	0.6345467330	1.000000000
-0.1326441731	0.1763877683	-0.6084736849	1.000000000
0.08694498159	0.2006273379	0.6210854275	1.000000000
-0.09574539584	0.1661697591	-0.6556310551	1.000000000
0.1281845025	0.2274019660	0.5648272801	0.0000000000
Matrix from Quadrature
-0.5000000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.1250000000	-0.2376237624	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.03279702970	0.07224781884	-0.4628479357	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.02306970141	0.1844908801	0.6947844477	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	-0.1202602033	0.1281600196	-0.4336290000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.04551239042	0.1145923771	0.4712531125	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.04149623871	0.1162661340	-0.6055307712	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.09905689657	0.1711775070	0.4056081718	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.05511622867	0.1154684122	-0.5703766644	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
