
Date:3/2/2010
Time:16:18:51
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
0.01000000000	0.008519650109
0.01000000000	0.007912801259
0.01000000000	0.007313644325
0.01000000000	0.006724497329
0.01000000000	0.006147639566
0.01000000000	0.005585302787
0.01000000000	0.005039662565
0.01000000000	0.004512829874
0.01000000000	0.004006842928
0.01000000000	0.003523659293
0.01000000000	0.003065148311
0.01000000000	0.002633083874
0.01000000000	0.002229137553
0.01000000000	0.001854872140
0.01000000000	0.001511735594
0.01000000000	0.001201055445
0.01000000000	0.0009240336517
0.01000000000	0.0006817419594
0.01000000000	0.0004751177472
0.01000000000	0.0003049604040
0.01000000000	0.0001719282354
0.01000000000	7.653591720e-005
0.01000000000	1.915250363e-005

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-0.5000000000	1.000000000
0.0000000000	0.1250000000	0.1694352159	1.000000000
-0.08367940199	0.2011505116	-0.2928843475	1.000000000
0.05980594565	0.1711747040	0.3223288357	1.000000000
-0.05715063390	0.1679463194	-0.3396046508	1.000000000
0.05759790123	0.1620328433	0.3479596204	1.000000000
-0.05709955313	0.1607521530	-0.3547225181	1.000000000
0.05725295427	0.1580273073	0.3587764760	1.000000000
-0.05707603610	0.1573946666	-0.3623335881	1.000000000
0.05714003270	0.1557840672	0.3647611384	1.000000000
-0.05706379438	0.1554340569	-0.3669284177	1.000000000
0.05709012114	0.1543512245	0.3685623967	1.000000000
-0.05705643595	0.1541459670	-0.3700049921	1.000000000
0.05706405176	0.1533574165	0.3711907707	1.000000000
-0.05705154424	0.1532344231	-0.3722092514	1.000000000
0.05704890265	0.1526279726	0.3731163049	1.000000000
-0.05704805436	0.1525552152	-0.3738660361	1.000000000
0.05703942369	0.1520699655	0.3745874528	1.000000000
-0.05704543380	0.1520295188	-0.3751566749	1.000000000
0.05703316289	0.1516294197	0.3757479240	1.000000000
-0.05704338901	0.1516105679	-0.3761903843	1.000000000
0.05702885416	0.1512728462	0.3766866258	1.000000000
-0.05704174550	0.1512688480	-0.3770368816	1.000000000
0.05702579220	0.1509783695	0.3774615122	1.000000000
-0.05704039314	0.1509848085	-0.3777427621	1.000000000
0.05702355997	0.1507310975	0.3781119750	1.000000000
-0.05703925901	0.1507449834	-0.3783403507	1.000000000
0.05702189879	0.1505205421	0.3786657228	1.000000000
-0.05703829289	0.1505397949	-0.3788527760	1.000000000
0.05702064171	0.1503391041	0.3791428124	1.000000000
-0.05703745902	0.1503622441	-0.3792970227	1.000000000
0.05701967737	0.1501811435	0.3795581187	1.000000000
-0.05703673126	0.1502070978	-0.3796858442	1.000000000
