
Date:2/2/2010
Time:11:22:58
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
-0.4463597873	0.3281809089	8.887762392	1.000000000
25.14153550	-77.34351280	-8.702065223	1.000000000
-1.594802408	-0.1667036085	-0.6005644332	1.000000000
-0.01272335258	-1.626360576	-10.84415989	1.000000000
-2.985545145	5.767907986	-5.582086743	1.000000000
43.42182284	-47.39919155	8.362310291	1.000000000
10.41186373	-2.075120903	-2.961528885	1.000000000
-0.5703443206	-13.89835980	6.888971406	1.000000000
5.059842249	-3.319851697	4.500922393	1.000000000
3.556031161	-31.42313433	-6.367475509	1.000000000
1.182102106	0.1570572815	1.623921040	1.000000000
0.2026989174	-11.39636983	-5.563976598	1.000000000
-0.5857659797	-0.2714253616	-0.3693766435	1.000000000
-0.008472531402	-0.7432406165	1.520683642	1.000000000
-0.03154068147	0.01810822593	0.3900637908	1.000000000
-0.009783045781	-0.1770248761	-1.027842505	1.000000000
0.1338469328	0.1251391339	-0.8038234999	1.000000000
0.008968166301	-0.2306058200	0.9495491790	1.000000000
0.6635919062	-0.3925167948	0.5306684675	1.000000000
0.05203073017	0.4039721242	-0.2731363281	1.000000000
-0.3704123230	0.4265435865	0.2192251807	1.000000000
-0.1066080424	-0.2510689487	-1.167936807	1.000000000
-0.5986655159	-0.6135250452	0.5459619004	1.000000000
0.3041204287	-0.2135949513	1.004645561	1.000000000
0.06621775452	0.7559693140	-0.8265841582	1.000000000
0.06591259225	-0.8769016745	1.189229044	1.000000000
0.1021641487	-0.1872826160	7.031222256	1.000000000
0.5664892223	-84.88182466	-11.60311370	1.000000000
-2.888667958	-0.4944669317	11.47173921	1.000000000
1.376110676	-124.4865838	-10.97800843	1.000000000
-8.744138737	-0.7297332330	7.971960464	1.000000000
-0.004224350064	9.329479637	1.622885419	1.000000000
0.1283146499	0.7068384438	-0.4509910133	1.000000000
0.04226220059	-0.2329267017	2.474031714	1.000000000
0.6672600119	-0.5078148196	0.8245743316	1.000000000
-1.192222430	-2.082342800	-1.919237260	1.000000000
0.4506110287	0.08735069085	0.7360173506	1.000000000
0.3541157542	1.745085358	5.297981947	1.000000000
0.6686344366	3.721349150	-0.5888268420	1.000000000
0.8520954688	-0.6657997810	1.177732496	1.000000000
0.1798523705	-0.05994489945	0.6986607890	1.000000000
0.02628622039	0.1564386788	-0.3144460494	1.000000000
-0.1523112263	0.4392277489	1.009869766	1.000000000
-0.5402458864	-1.848986105	-1.865057955	1.000000000
-0.03817977830	-0.1380620642	0.8599886925	1.000000000
0.06308566271	-0.7082372449	-1.885406252	1.000000000
-0.1417639382	-0.5246340650	-0.5304071230	1.000000000
-0.1461203818	-0.5868836025	1.197907068	1.000000000
0.2726904718	-0.1652684135	0.3274187225	1.000000000
0.02133428007	1.035058736	-0.03390304738	1.000000000
-2.655645019	-0.9388717232	-1.093827911	1.000000000
0.6923413137	4.511327756	7.747436800	1.000000000
