
Date:4/2/2010
Time:13:54:44
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
0.02327119037	0.03147829817	0.7392772719	1.000000000
-0.02327119039	0.03147829818	-0.7392772719	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	1.000000000
-0.02327119037	0.03147829814	-0.7392772720	1.000000000
0.02327119037	0.03147829814	0.7392772720	0.0000000000
Matrix from Quadrature
-0.7500000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.03125000000	0.7179856288	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.04587455090	0.04698996507	-0.7286340108	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
