
Date:2/2/2010
Time:13:40:7
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
0.01941654396	0.01941654396
0.01922806201	0.01922806201
0.01900349544	0.01900349544
0.01874371303	0.01874371303
0.01844971985	0.01844971985
0.01812265329	0.01812265329
0.01776377872	0.01776377872
0.01737448455	0.01737448455
0.01695627687	0.01695627687
0.01651077367	0.01651077367
0.01603969849	0.01603969849
0.01554487384	0.01554487384
0.01502821411	0.01502821411
0.01449171814	0.01449171814
0.01393746153	0.01393746153
0.01336758861	0.01336758861
0.01278430408	0.01278430408
0.01218986458	0.01218986458
0.01158656986	0.01158656986
0.01097675396	0.01097675396
0.01036277614	0.01036277614
0.009747011763	0.009747011763
0.009131843096	0.009131843096
0.008519650109	0.008519650109
0.007912801259	0.007912801259
0.007313644325	0.007313644325
0.006724497329	0.006724497329
0.006147639566	0.006147639566
0.005585302787	0.005585302787
0.005039662565	0.005039662565
0.004512829874	0.004512829874
0.004006842928	0.004006842928
0.003523659293	0.003523659293
0.003065148311	0.003065148311
0.002633083874	0.002633083874
0.002229137553	0.002229137553
0.001854872140	0.001854872140
0.001511735594	0.001511735594
0.001201055445	0.001201055445
0.0009240336517	0.0009240336517
0.0006817419594	0.0006817419594
0.0004751177472	0.0004751177472
0.0003049604040	0.0003049604040
0.0001719282354	0.0001719282354
7.653591720e-005	7.653591720e-005
1.915250363e-005	1.915250363e-005

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-0.7500000000	1.000000000
0.0000000000	0.01562500000	0.7285533906	1.000000000
-0.02310239673	0.03147664266	-0.7392789515	1.000000000
0.03541074413	0.04744375669	0.7335072940	1.000000000
-0.02891082349	0.02718521020	-0.7447072814	1.000000000
0.02374803927	0.03666901104	0.7458894897	1.000000000
-0.02392013800	0.02514585880	-0.7552497614	1.000000000
0.02345083987	0.03682027316	0.7504817713	1.000000000
-0.02475762123	0.02546073827	-0.7586130056	1.000000000
0.02357542628	0.03654948343	0.7549548588	1.000000000
-0.02445149690	0.02493150721	-0.7677756850	1.000000000
0.02320034289	0.03685113587	0.7593675911	1.000000000
-0.02532889056	0.02544897370	-0.7719047102	1.000000000
0.02323658203	0.03776793211	0.7628403690	1.000000000
-0.02650127054	0.02641796636	-0.7747813680	1.000000000
0.02385416143	0.03906779545	0.7652150953	1.000000000
-0.02752117144	0.02756293582	-0.7732425210	1.000000000
0.02500244729	0.04095043193	0.7656159099	1.000000000
-0.02870933326	0.02912719335	-0.7705579576	1.000000000
0.02668593323	0.04321418144	0.7638455394	1.000000000
-0.02989823937	0.03075089775	-0.7712549278	1.000000000
0.02853948111	0.04539559335	0.7620581826	1.000000000
-0.03092356146	0.03191220495	-0.7755263432	1.000000000
0.02987554790	0.04659492849	0.7640978783	1.000000000
-0.03129412694	0.03214300962	-0.7800197062	1.000000000
0.03033504513	0.04676913313	0.7704250093	1.000000000
-0.03126487891	0.03193544972	-0.7819065941	1.000000000
0.03032067342	0.04707117294	0.7764568798	1.000000000
-0.03185513748	0.03231678541	-0.7822814728	1.000000000
0.03043689352	0.04804715048	0.7782789799	1.000000000
-0.03308396018	0.03345162469	-0.7833024611	1.000000000
0.03113037711	0.04902260539	0.7771999169	1.000000000
-0.03367372866	0.03443375251	-0.7852852979	1.000000000
0.03253099237	0.04983427333	0.7775515033	1.000000000
-0.03347903163	0.03467506666	-0.7870464803	1.000000000
0.03372911431	0.05093675264	0.7814362305	1.000000000
-0.03397692144	0.03477052662	-0.7878036275	1.000000000
0.03361483167	0.05167976880	0.7862145130	1.000000000
-0.03516861792	0.03530819819	-0.7885968772	1.000000000
