
Date:2/2/2010
Time:13:36:21
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
0.05742542670	0.1466460845	0.3901457722	1.000000000
-0.05662526018	0.1446698531	-0.3925580064	1.000000000
0.05736434099	0.1466016045	0.3900389883	1.000000000
-0.05667967271	0.1449232296	-0.3920984195	1.000000000
0.05731773471	0.1465900242	0.3898998913	1.000000000
-0.05672256343	0.1451418202	-0.3916874802	1.000000000
0.05728111997	0.1465982526	0.3897466690	1.000000000
-0.05675712343	0.1453322060	-0.3913191048	1.000000000
0.05725167029	0.1466184469	0.3895893578	1.000000000
-0.05678548274	0.1454994535	-0.3909877340	1.000000000
0.05722752209	0.1466457749	0.3894335280	1.000000000
-0.05680911369	0.1456475077	-0.3906885007	1.000000000
0.05720739952	0.1466771950	0.3892822271	1.000000000
-0.05682906431	0.1457794768	-0.3904172250	1.000000000
0.05719040113	0.1467107634	0.3891370452	1.000000000
-0.05684609953	0.1458978385	-0.3901703456	1.000000000
0.05717587277	0.1467452260	0.3889987197	1.000000000
-0.05686078980	0.1460045896	-0.3899448354	1.000000000
0.05716332881	0.1467797714	0.3888674863	1.000000000
-0.05687356861	0.1461013559	-0.3897381198	1.000000000
0.05715240143	0.1468138772	0.3887432883	1.000000000
-0.05688477083	0.1461894742	-0.3895480033	1.000000000
0.05714280723	0.1468472116	0.3886259018	1.000000000
-0.05689465897	0.1462700528	-0.3893726077	1.000000000
0.05713432446	0.1468795709	0.3885150126	1.000000000
-0.05690344150	0.1463440186	-0.3892103201	1.000000000
0.05712677725	0.1469108366	0.3884102628	1.000000000
-0.05691128593	0.1464121523	-0.3890597494	1.000000000
0.05712002442	0.1469409484	0.3883112796	1.000000000
-0.05691832827	0.1464751163	-0.3889196911	1.000000000
0.05711395136	0.1469698851	0.3882176921	1.000000000
-0.05692468003	0.1465334760	-0.3887890979	1.000000000
0.05710846415	0.1469976511	0.3881291417	1.000000000
-0.05693043343	0.1465877171	-0.3886670555	1.000000000
0.05710348512	0.1470242686	0.3880452875	1.000000000
-0.05693566535	0.1466382591	-0.3885527623	1.000000000
0.05709894949	0.1470497704	0.3879658090	1.000000000
-0.05694044032	0.1466854661	-0.3884455133	1.000000000
0.05709480285	0.1470741966	0.3878904073	1.000000000
-0.05694481292	0.1467296559	-0.3883446858	1.000000000
0.05709099917	0.1470975910	0.3878188051	1.000000000
-0.05694882957	0.1467711068	-0.3882497282	1.000000000
0.05708749928	0.1471199991	0.3877507457	1.000000000
-0.05695252999	0.1468100640	-0.3881601500	1.000000000
0.05708426963	0.1471414672	0.3876859921	1.000000000
-0.05695594836	0.1468467438	-0.3880755137	1.000000000
0.05708128133	0.1471620409	0.3876243260	1.000000000
-0.05695911421	0.1468813384	-0.3879954279	1.000000000
0.05707850939	0.1471817648	0.3875655460	1.000000000
-0.05696205321	0.1469140186	-0.3879195417	1.000000000
0.05707593207	0.1472006818	0.3875094668	1.000000000
-0.05696478774	0.1469449370	-0.3878475391	1.000000000
0.05707353039	0.1472188331	0.3874559174	1.000000000
-0.05696733742	0.1469742303	-0.3877791351	1.000000000
0.05707128772	0.1472362580	0.3874047403	1.000000000
-0.05696971951	0.1470020214	-0.3877140722	1.000000000
0.05706918939	0.1472529938	0.3873557902	1.000000000
-0.05697194921	0.1470284209	-0.3876521167	1.000000000
0.05706722247	0.1472690758	0.3873089330	1.000000000
-0.05697404003	0.1470535288	-0.3875930563	1.000000000
0.05706537546	0.1472845374	0.3872640447	1.000000000
-0.05697600394	0.1470774357	-0.3875366980	1.000000000
0.05706363816	0.1472994099	0.3872210108	1.000000000
-0.05697785163	0.1471002237	-0.3874828652	1.000000000
0.05706200145	0.1473137230	0.3871797250	1.000000000
-0.05697959265	0.1471219677	-0.3874313967	1.000000000
0.05706045718	0.1473275047	0.3871400891	1.000000000
-0.05698123557	0.1471427360	-0.3873821449	1.000000000
0.05705899803	0.1473407810	0.3871020118	1.000000000
-0.05698278807	0.1471625908	-0.3873349742	1.000000000
0.05705761740	0.1473535768	0.3870654086	1.000000000
-0.05698425709	0.1471815894	-0.3872897598	1.000000000
0.05705630937	0.1473659152	0.3870302006	1.000000000
-0.05698564890	0.1471997840	-0.3872463869	1.000000000
0.05705506854	0.1473778180	0.3869963146	1.000000000
-0.05698696918	0.1472172228	-0.3872047497	1.000000000
0.05705389007	0.1473893058	0.3869636823	1.000000000
-0.05698822306	0.1472339502	-0.3871647501	1.000000000
0.05705276951	0.1474003980	0.3869322402	1.000000000
-0.05698941522	0.1472500071	-0.3871262978	1.000000000
0.05705170284	0.1474111127	0.3869019287	1.000000000
-0.05699054994	0.1472654312	-0.3870893086	1.000000000
0.05705068640	0.1474214670	0.3868726925	0.0000000000
Matrix from Quadrature
-0.5000000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.06250000000	0.2524916944	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.04703073090	0.1455502699	-0.3896329747	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
