2
100
0.5188747756753118629090426829150354536269985406082276033178313946	1
0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.1349001794597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4805303403270676730814391731230371222207111560009336102455237511	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3843332860357142284936275316725067844906914169465244933094537052	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4805843914420488726236777064846400466434179007114046303219739056	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3843836505341306749620220520150790751149300931332526280895365372	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4806313971641943099304634899244707192125076322312785695216747782	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3844275896676900181793821107568185180057735682695615846425212737	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4806725307982055657917268960799849175816931751002377656273926887	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3844661516819727318949880758901938593206233897356401395679571065	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4807087311968247468368965090882964913959085814242588606555130452	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3845001794597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4807407568121929429348635070119157189989145697339484828028914043	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3845303569745434090810498773366106903528390373359031244463266003	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4807692257486824411137412259493290889148312920724416740050593138	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3845572439316297963668673625842953682369471208741860929287252821	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4807946458122914428760812840271133067035799717884666115582016633	1
