1
100
0.0	1.0	
0.25	0.0	
Quadrature Nodes
0.9998766324816570350009214962483383715152740478515625	0.9998766324816570350009214962483383715152740478515625
0.99888987496192560566754536921507678925991058349609375	0.99888987496192560566754536921507678925991058349609375
0.9969173337330285988855393952690064907073974609375	0.9969173337330285988855393952690064907073974609375
0.99396095545507556767717005641316063702106475830078125	0.99396095545507556767717005641316063702106475830078125
0.99002365771797096183348685372038744390010833740234375	0.99002365771797096183348685372038744390010833740234375
0.98510932621335689507446886636898852884769439697265625	0.98510932621335689507446886636898852884769439697265625
0.97922281052109616528156266213045455515384674072265625	0.97922281052109616528156266213045455515384674072265625
0.9723699201977857864420684563810937106609344482421875	0.9723699201977857864420684563810937106609344482421875
0.9645574191048942314097303096787072718143463134765625	0.9645574191048942314097303096787072718143463134765625
0.9557930141598234285993385128676891326904296875	0.9557930141598234285993385128676891326904296875
0.94608535917132374759574986455845646560192108154296875	0.94608535917132374759574986455845646560192108154296875
-0.99987663248166558371821110995369963347911834716796875	-0.99987663248166558371821110995369963347911834716796875
-0.998889874961973678324511638493277132511138916015625	-0.998889874961973678324511638493277132511138916015625
-0.99691733373313151655992214728030376136302947998046875	-0.99691733373313151655992214728030376136302947998046875
-0.99396095545518414748897839672281406819820404052734375	-0.99396095545518414748897839672281406819820404052734375
-0.99002365771655664872241686680354177951812744140625	-0.99002365771655664872241686680354177951812744140625
-0.985109326154772535488746143528260290622711181640625	-0.985109326154772535488746143528260290622711181640625
-0.97922281062176796950780044426210224628448486328125	-0.97922281062176796950780044426210224628448486328125
-0.9723699203976912119884445928619243204593658447265625	-0.9723699203976912119884445928619243204593658447265625
-0.96455741845762432706834488271852023899555206298828125	-0.96455741845762432706834488271852023899555206298828125
-0.95579301479841316524499461593222804367542266845703125	-0.95579301479841316524499461593222804367542266845703125
-0.946085358827570832573883308214135468006134033203125	-0.946085358827570832573883308214135468006134033203125
-0.9354440308298943573817041396978311240673065185546875	-0.9354440308298943573817041396978311240673065185546875
-0.92387953251132881593576939849299378693103790283203125	-0.92387953251132881593576939849299378693103790283203125
-0.91140327663553144521557669577305205166339874267578125	-0.91140327663553144521557669577305205166339874267578125
-0.89802757576116309934377568424679338932037353515625	-0.89802757576116309934377568424679338932037353515625
-0.88376563008816033661929623121977783739566802978515625	-0.88376563008816033661929623121977783739566802978515625
-0.86863151441904273841743133743875660002231597900390625	-0.86863151441904273841743133743875660002231597900390625
-0.79968465849821679380937666792306117713451385498046875	-0.79968465849821679380937666792306117713451385498046875
-0.780430407414073545879773519118316471576690673828125	-0.780430407414073545879773519118316471576690673828125
-0.818149717454254687964976255898363888263702392578125	-0.818149717454254687964976255898363888263702392578125
-0.7604059654598895878763187283766455948352813720703125	-0.7604059654598895878763187283766455948352813720703125
-0.83580736126696653087719823815859854221343994140625	-0.83580736126696653087719823815859854221343994140625
-0.7396310950720705879035676844068802893161773681640625	-0.7396310950720705879035676844068802893161773681640625
0.93544403063242642648589253440150059759616851806640625	0.93544403063242642648589253440150059759616851806640625
-0.7181262977331053232177282552584074437618255615234375	-0.7181262977331053232177282552584074437618255615234375
0.92387953256888188935391781342332251369953155517578125	0.92387953256888188935391781342332251369953155517578125
-0.8526401644302785687301593497977592051029205322265625	-0.8526401644302785687301593497977592051029205322265625
-0.69591279659598781481832929785014130175113677978515625	-0.69591279659598781481832929785014130175113677978515625
0.9114032767403312806919757349533028900623321533203125	0.9114032767403312806919757349533028900623321533203125
-0.6730125135114111145639981259591877460479736328125	-0.6730125135114111145639981259591877460479736328125
0.89802757566036250924668138395645655691623687744140625	0.89802757566036250924668138395645655691623687744140625
-0.64944804832871028121843437475035898387432098388671875	-0.64944804832871028121843437475035898387432098388671875
0.883765630124941026224405504763126373291015625	0.883765630124941026224405504763126373291015625
-0.6252426563366235701124651313875801861286163330078125	-0.6252426563366235701124651313875801861286163330078125
0.73963109539279103810116566819488070905208587646484375	0.73963109539279103810116566819488070905208587646484375
0.7604059644652212401894075810560025274753570556640625	0.7604059644652212401894075810560025274753570556640625
0.780430408950972154258352020406164228916168212890625	0.780430408950972154258352020406164228916168212890625
0.79968465724259296667497665112023241817951202392578125	0.79968465724259296667497665112023241817951202392578125
0.7181262976994344793268965077004395425319671630859375	0.7181262976994344793268965077004395425319671630859375
